pirate_boon_desc;In order to mark this land ours, it is perhaps smart to establish our Pirate Port here;;;;;;;;;;;;;x
pirate_den;Pirate Port;;;;;;;;;;;;;x

pirate_emperor;Pirate High King;;;;;;;;;;;;;;x
pirate_emperor_muslim;Pirate High King;;;;;;;;;;;;;;x
pirate_emperor_pagan;Pirate High King;;;;;;;;;;;;;;x

pirate_king;Pirate King;;;;;;;;;;;;;x
pirate_king_pagan;Pirate King;;;;;;;;;;;;;x
pirate_king_muslim;Pirate King;;;;;;;;;;;;;x

pirate_duke;Pirate Lord;;;;;;;;;;;;;x
pirate_duke_pagan;Pirate Lord;;;;;;;;;;;;;x
pirate_duke_muslim;Pirate Lord;;;;;;;;;;;;;x

pirate_count;Privateer;;;;;;;;;;;;;x
pirate_count_pagan;Privateer;;;;;;;;;;;;;x
pirate_count_muslim;Privateer;;;;;;;;;;;;;x

pirate_baron;Mayor;Buccaneer;;;;;;;;;;;;;x
pirate_baron_pagan;Buccaneer;;;;;;;;;;;;;x
pirate_baron_muslim;Buccaneer;;;;;;;;;;;;;x
