currency_name_merchant_leauge;Influence;;;;;;;;;;;;;x

borrow_money_league_power_desc;I can borrow 500¤ from merchants and moneylenders in the Merchant League.;;;;;;;;;;x;;;
repay_money_league_power_desc;I will repay the gold that I owe the Merchant League merchants and moneylenders.;;;;;;;;;;x;;;
league_invite_merchant_power_desc;We are lacking merchants and are in need of people that can help us, perhaps we could ask around in the Merchant League to invite them to our cause.;;;;;;;;;;x;;;
setup_leauge_buisness_power_desc;To prove ourself in the Leauge, perhaps its time to setup our buisness to also start generating some income.;;;;;;;;;;x;;;
leauge_upgrade_holding_power_desc;It is time to expand this province, perhaps we could use our influence and our connections within the League to expand this province to build another settlement.;;;;;;;;;;x;;;
leauge_raid_cb_power_desc;This realm is rich and should pay a one time tribute to our cause. Perhaps we could say that they have a debt that needs to be resolved and use this as a reason for war.;;;;;;;;;;x;;;
leauge_improve_province_power_desc;After building up some influence, perhaps we should estalibsh a Trade Outpost within this province.;;;;;;;;;;x;;;
leauge_lifestyle_power_desc;Being in the Merchant League for a long time and having privledges that we earned, we can now choose our speciality of economics.;;;;;;;;;;x;;;

legends_guild;The Legends Guild;;;;;;;;;;;;;x
legends_guild_desc;This is a guild consisting of great warriors and knights that are training eachother with the goal to learn the arts of war. As a member of the Legends Guild you are willing to try and become the greatest warrior there is.;;;;;;;;;;;;x
legends_guild_leader_desc;The Hero is someone that is a very feared warrior within the guild that the guild members show respect to.;;;;;;;;;;;;;x
legends_guild_rank_1_male;Newling;;;;;;;;;;;;;x
legends_guild_rank_2_male;Warrior;;;;;;;;;;;;;x
legends_guild_rank_3_male;Guild Veteran;;;;;;;;;;;;;x
legends_guild_rank_4_male;Grandmaster;;;;;;;;;;;;;x

legends_guild_rank_1_female;Newling;;;;;;;;;;;;;x
legends_guild_rank_2_female;Warrior;;;;;;;;;;;;;x
legends_guild_rank_3_female;Guild Veteran;;;;;;;;;;;;;x
legends_guild_rank_4_female;Grandmaster;;;;;;;;;;;;;x
currency_name_legends_guild;Influence;;;;;;;;;;;;;x

#powers;;;;;;;;;;;;;;
monastic_orders_educational;Wisdom of the Imams;;;;;;;;;;;;;x
monastic_orders_educational_power_desc;Your wards have a chance to gain increased attribute points during their education and upon reaching adulthood have a chance to lose wicked traits and gain pious ones.;;;;;;;;;;;;;x
monastic_orders_decadence;Decadence Negiotiations;;;;;;;;;;;;;x
monastic_orders_decadence_power_desc;Can more easily convince someone to be less decadent.\n§GRight-click§! a decadent family member in order to §Ynegotiate§! their decadency.;;;;;;;;;;;;;x
monastic_orders_invite_imam;Invite Imam;;;;;;;;;;;;;x
monastic_orders_invite_imam_power_desc;Invite a wise Imam from the society to help you with your religious administration.;;;;;;;;;;;;;x
monastic_orders_lifestyle;Learning Lifestyles;;;;;;;;;;;;;x
monastic_orders_lifestyle_power_desc;Be able to practice §YScholarship§!, §YMystic§! or §YTheologian§! by §Gright-clicking§! yourself.;;;;;;;;;;;;;x
build_fire_shrine_power_desc;Enables you to build a small Fire Shrine in your home.;;;;;;;;;;;;;x
zoro_sun_society_summon_commander_power_desc;Enables you to hire Veteran/Retired Immortals as commanders.;;;;;;;;;;;;;x
zoro_raise_troops_power_desc;Enables the option to call in Immortal reservists to your aid.;;;;;;;;;;;;;x
search_pages_zoro_power_desc;Enables the option to attempt finding the missing pages of the Zoroastrian Texts.;;;;;;;;;;;;;x
complete_zoro_book_power_desc;Enables the option to complete the gathered pages to make a Zoroastrian Avesta.;;;;;;;;;;;;;x
#loc keys;;;;;;;;;;;;;;
String_Allah;Allah;;;;;;;;;;;;;x
String_Saint_Imam_Ibad;Imam Ibad;;;;;;;;;;;;;x
String_mosque;mosque;;;;;;;;;;;;;x
String_the_Rule_of_Imam_Ibad;The rule of Imam Ibad;;;;;;;;;;;;;x
String_Muslim_greeting;Assam alaikum;;;;;;;;;;;;;x
String_muslim_farewell;Fi aman illa Allah ma’ik;;;;;;;;;;;;;x
zoro_fire_society;Order of the Atash Bahram;;;;;;;;;;;;;x
zoro_fire_society_desc;The Order of the Atash Bahram is centered around the ancient Persian faith of Zoroastrianism, which reveres Ahura Mazda as the supreme deity and upholds the duality of good and evil. Members of this society strive to restore the glory of the Persian Empire, protect sacred fire temples, and combat religious corruption.;;;;;;;;;;;;;x
currency_name_zoro_fire_society;Fire;;;;;;;;;;;;;x
zoro_fire_society_rank_1_male;Follower;;;;;;;;;;;;;x
zoro_fire_society_rank_2_male;Herbad;;;;;;;;;;;;;x
zoro_fire_society_rank_3_male;Mowbad;;;;;;;;;;;;;x
zoro_fire_society_rank_4_male;Mowbadan-Mowbad;;;;;;;;;;;;;x
zoro_fire_society_rank_1_female;Believer;;;;;;;;;;;;;x
zoro_fire_society_rank_2_female;Sheikh;;;;;;;;;;;;;x
zoro_fire_society_rank_3_female;Ulama;;;;;;;;;;;;;x
zoro_fire_society_rank_4_female;Imam;;;;;;;;;;;;;x
