confederation_diplo_laws_modifier_2;Full Federation Diplomatic Efforts;;;;;;;;;;;;;x

confederation_diplo_laws_modifier_1_desc;This Federation is partialy focusing on its Diplomacy;;;;;;;;;;;;;x
confederation_diplo_laws_modifier_2_desc;This Federation is fully focusing on its Diplomacy;;;;;;;;;;;;;x

confederation_diplo_laws_0;None;;;;;;;;;;;;;x
confederation_diplo_laws_1;Partial;;;;;;;;;;;;;x
confederation_diplo_laws_2;Full;;;;;;;;;;;;;x

confederation_diplo_laws_desc;These laws are for the Federation to demobilize and to focus on Economics;;;;;;;;;;;;;x

confederation_diplo_laws_0_desc;No Federation law has been enacted yet;;;;;;;;;;;;;x
confederation_diplo_laws_1_desc;The Federation will enact a partial demobilization. This means that the army will be a little at ease, this is a great way to build up these realms while having a weakend army. This will partly upset our vassals.;;;;;;;;;;;;;x
confederation_diplo_laws_2_desc;The Federation will enact a full demobilization. With a fully weakened army, this could cause trouble with our neighbours and with our vassals since they dont like the full tax increase, but this is a great way to build up these realms with the wealth this will provide us by having a demobilization army;;;;;;;;;;;;
