# -*- ck2.history.provinces -*-

# 167 - Malaga

# County Title
title = c_malaga
	b_antequera = castle
	b_antequera = ca_barracks_1
	b_antequera = ca_barracks_2
	b_antequera = ca_barracks_3
	b_antequera = ca_wall_1
	b_antequera = ca_wall_2
	b_antequera = ca_keep_1
	b_antequera = ca_keep_2
	b_antequera = ca_keep_3
	b_antequera = ca_militia_barracks_1
	b_antequera = ca_militia_barracks_2
	b_antequera = ca_militia_barracks_3
	b_antequera = ca_training_grounds_1
	b_antequera = ca_training_grounds_2
	b_antequera = ca_stable_1
	b_antequera = ca_stable_2
	b_antequera = ca_stable_3
	b_antequera = ca_town_1
	b_antequera = ca_town_2
	b_antequera = ca_town_3
	b_antequera = ca_wall_q_1
	b_antequera = ca_wall_q_2
	b_antequera = castle_tower_1
	b_antequera = castle_smith_1
	b_antequera = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_velezmalaga
	remove_settlement = b_antequera
}

1160.1.1 = { trade_post = b_embriaco }
1318.7.27  = { trade_post = b_da_mare }
