# 2179 - Abid
# County Title
title = c_abid
	b_orsa = ca_keep_2
	b_orsa = ca_keep_3
	b_orsa = ca_militia_barracks_1
	b_orsa = ca_militia_barracks_2
	b_orsa = ca_militia_barracks_3
	b_orsa = ca_training_grounds_1
	b_orsa = ca_training_grounds_2
	b_orsa = ca_stable_1
	b_orsa = ca_stable_2
	b_orsa = ca_stable_3
	b_orsa = ca_town_1
	b_orsa = ca_town_2
	b_orsa = ca_town_3
	b_orsa = ca_wall_q_1
	b_orsa = ca_wall_q_2
	b_orsa = castle_tower_1
	b_orsa = castle_smith_1
	b_orsa = stone_mine_1
	b_egwara = castle
	b_egwara = ca_barracks_1
	b_egwara = ca_barracks_2
	b_egwara = ca_barracks_3
	b_egwara = ca_wall_1
	b_egwara = ca_wall_2
	b_egwara = ca_keep_1
	b_egwara = ca_keep_2
	b_egwara = ca_keep_3
	b_egwara = ca_militia_barracks_1
	b_egwara = ca_militia_barracks_2
	b_egwara = ca_militia_barracks_3
	b_egwara = ca_training_grounds_1
	b_egwara = ca_training_grounds_2
	b_egwara = ca_stable_1
	b_egwara = ca_stable_2
	b_egwara = ca_stable_3
	b_egwara = ca_town_1
	b_egwara = ca_town_2
	b_egwara = ca_town_3
	b_egwara = ca_wall_q_1
	b_egwara = ca_wall_q_2
	b_egwara = castle_tower_1
	b_egwara = castle_smith_1
	b_egwara = stone_mine_1
	b_ammou = castle
	b_ammou = ca_barracks_1
	b_ammou = ca_barracks_2
	b_ammou = ca_barracks_3
	b_ammou = ca_wall_1
	b_ammou = ca_wall_2
	b_ammou = ca_keep_1
	b_ammou = ca_keep_2
	b_ammou = ca_keep_3
	b_ammou = ca_militia_barracks_1
	b_ammou = ca_militia_barracks_2
	b_ammou = ca_militia_barracks_3
	b_ammou = ca_training_grounds_1
	b_ammou = ca_training_grounds_2
	b_ammou = ca_stable_1
	b_ammou = ca_stable_2
	b_ammou = ca_stable_3
	b_ammou = ca_town_1
	b_ammou = ca_town_2
	b_ammou = ca_town_3
	b_ammou = ca_wall_q_1
	b_ammou = ca_wall_q_2
	b_ammou = castle_tower_1
	b_ammou = castle_smith_1
	b_ammou = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_egwara
	remove_settlement = b_ammou
}
