# -*- ck2.history.provinces -*-

# 2007 - Beersheba

# County Title
title = c_beersheba
	#b_beersheba4 = ca_militia_barracks_2
	#b_beersheba4 = ca_militia_barracks_3
	#b_beersheba4 = ca_training_grounds_1
	#b_beersheba4 = ca_training_grounds_2
	#b_beersheba4 = ca_stable_1
	#b_beersheba4 = ca_stable_2
	#b_beersheba4 = ca_stable_3
	#b_beersheba4 = ca_town_1
	#b_beersheba4 = ca_town_2
	#b_beersheba4 = ca_town_3
	#b_beersheba4 = ca_wall_q_1
	#b_beersheba4 = ca_wall_q_2
	#b_beersheba4 = castle_tower_1
	#b_beersheba4 = castle_smith_1
	#b_beersheba4 = stone_mine_1
	#b_beersheba5 = castle
	#b_beersheba5 = ca_barracks_1
	#b_beersheba5 = ca_barracks_2
	#b_beersheba5 = ca_barracks_3
	#b_beersheba5 = ca_wall_1
	#b_beersheba5 = ca_wall_2
	#b_beersheba5 = ca_keep_1
	#b_beersheba5 = ca_keep_2
	#b_beersheba5 = ca_keep_3
	#b_beersheba5 = ca_militia_barracks_1
	#b_beersheba5 = ca_militia_barracks_2
	#b_beersheba5 = ca_militia_barracks_3
	#b_beersheba5 = ca_training_grounds_1
	#b_beersheba5 = ca_training_grounds_2
	#b_beersheba5 = ca_stable_1
	#b_beersheba5 = ca_stable_2
	#b_beersheba5 = ca_stable_3
	#b_beersheba5 = ca_town_1
	#b_beersheba5 = ca_town_2
	#b_beersheba5 = ca_town_3
	#b_beersheba5 = ca_wall_q_1
	#b_beersheba5 = ca_wall_q_2
	#b_beersheba5 = castle_tower_1
	#b_beersheba5 = castle_smith_1
	#b_beersheba5 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_beersheba4
	remove_settlement = b_beersheba5
}
