# -*- ck2.history.provinces -*-

# 773 - Tiberias

# County Title
title = c_tiberias
	b_mnttabor = ca_barracks_1
	b_mnttabor = ca_barracks_2
	b_mnttabor = ca_barracks_3
	b_mnttabor = ca_wall_1
	b_mnttabor = ca_wall_2
	b_mnttabor = ca_keep_1
	b_mnttabor = ca_keep_2
	b_mnttabor = ca_keep_3
	b_mnttabor = ca_militia_barracks_1
	b_mnttabor = ca_militia_barracks_2
	b_mnttabor = ca_militia_barracks_3
	b_mnttabor = ca_training_grounds_1
	b_mnttabor = ca_training_grounds_2
	b_mnttabor = ca_stable_1
	b_mnttabor = ca_stable_2
	b_mnttabor = ca_stable_3
	b_mnttabor = ca_town_1
	b_mnttabor = ca_town_2
	b_mnttabor = ca_town_3
	b_mnttabor = ca_wall_q_1
	b_mnttabor = ca_wall_q_2
	b_mnttabor = castle_tower_1
	b_mnttabor = castle_smith_1
	b_mnttabor = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_cavedesueth
	remove_settlement = b_mnttabor
}

1270.1.1 = { religion = sunni }
