# -*- ck2.history.provinces -*-

# 181 - Cordoba

# County Title
title = c_cordoba
	b_madinat_al_zahra = ca_stable_3
	b_madinat_al_zahra = ca_town_1
	b_madinat_al_zahra = ca_town_2
	b_madinat_al_zahra = ca_town_3
	b_madinat_al_zahra = ca_wall_q_1
	b_madinat_al_zahra = ca_wall_q_2
	b_madinat_al_zahra = castle_tower_1
	b_madinat_al_zahra = castle_smith_1
	b_madinat_al_zahra = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_madinat_al_zahra
}

1251.1.1 = { culture = castillan }
1251.1.1 = { religion = catholic }
